pdb_id,designed_chain,n_residues,n_interface,n_surface_pool,mean_rsasa_interface,mean_rsasa_surface,observed_ratio,null_mean_ratio,null_sd_ratio,observed_minus_null,p_permutation,mean_rsasa_match_error
1B4U,B,298,33,87,0.4874666666666667,0.46519195402298846,1.2530536141461723,1.6853716578553135,1.322486289892419e-05,-0.4323180437091412,9.999000099990002e-05,0.012718181818181821
1BOU,B,298,32,86,0.491153125,0.466236046511628,1.2987247542167917,1.7692199720451047,0.0,-0.47049521782831305,9.999000099990002e-05,0.011568750000000003
1BWU,D,109,26,33,0.5036461538461539,0.4918484848484849,1.0487218617402978,1.3119084314902365,2.220557079880142e-16,-0.2631865697499387,9.999000099990002e-05,0.03420769230769233
1FS2,A,259,24,97,0.46598333333333325,0.4361103092783505,1.053796604920064,1.5399765418624924,2.220557079880142e-16,-0.48617993694242845,9.999000099990002e-05,0.012529166666666662
1GO4,A,196,26,68,0.5240346153846154,0.48432352941176465,1.2413540441411604,1.4943460996220999,2.220557079880142e-16,-0.2529920554809395,9.999000099990002e-05,0.009503846153846153
1HL6,D,143,32,38,0.48755937499999996,0.4839657894736843,1.2614906829484,1.3059041219027738,3.5112196776388207e-16,-0.044413438954373774,9.999000099990002e-05,0.020534374999999994
1I7Q,B,192,24,60,0.47215,0.4630516666666667,1.2356792729614656,2.150989301942825,4.441114159760284e-16,-0.9153100289813594,9.999000099990002e-05,0.012720833333333332
1I7S,B,192,27,60,0.47685925925925926,0.45448833333333327,1.6008450880020948,1.558761166745057,2.220557079880142e-16,0.04208392125703786,9.999000099990002e-05,0.009814814814814818
1I8L,A,199,11,96,0.4281727272727273,0.4472041666666666,1.4293451209176558,1.3549071456811492,0.0797590028706298,0.07443797523650653,1.0,0.003300000000000011
1IZN,A,275,62,98,0.5044596774193548,0.4633938775510204,0.9953190678421615,1.3826571775740921,0.00019003748508966047,-0.3873381097319306,9.999000099990002e-05,0.008619354838709677
1KJ1,A,109,28,32,0.48784285714285724,0.494446875,0.9001437898336702,1.5255912930015216,2.220557079880142e-16,-0.6254475031678515,9.999000099990002e-05,0.03610714285714286
1O9S,A,250,11,118,0.5238272727272727,0.45335508474576264,1.556129357945219,1.4991303915264764,0.0,0.05699896641874247,9.999000099990002e-05,0.0029909090909091053
1P27,A,144,13,62,0.4022769230769231,0.4676596774193549,1.2498742975007688,1.2827462505535623,0.0,-0.032871953052793446,9.999000099990002e-05,0.004392307692307688
1PXV,A,183,21,70,0.5174333333333334,0.48673142857142865,1.3203463203463202,1.531740048108446,2.220557079880142e-16,-0.21139372776212584,9.999000099990002e-05,0.01423809523809524
1QBK,C,190,35,64,0.46593428571428575,0.4733109375,1.383632475161753,1.381682187750977,2.220557079880142e-16,0.0019502874107759638,9.999000099990002e-05,0.006774285714285714
1R5I,D,214,15,92,0.4451333333333334,0.48582173913043486,1.1695837524548542,1.3734183699587885,0.00022779728941870278,-0.20383461750393428,9.999000099990002e-05,0.002533333333333332
1SG1,X,160,16,89,0.4274125,0.4730561797752809,0.997168843467624,1.480327269857554,0.035909043226056994,-0.48315842638993,9.999000099990002e-05,0.0032375000000000043
1TO9,A,225,19,83,0.49166842105263153,0.44722530120481924,1.1273639562448838,1.2539348643017354,0.00046510470798776654,-0.12657090805685156,9.999000099990002e-05,0.005673684210526311
1X27,B,164,20,66,0.50925,0.46574848484848486,1.1698159384081985,1.435094070259522,4.441114159760284e-16,-0.26527813185132354,9.999000099990002e-05,0.005465000000000004
1XQH,A,250,11,117,0.469109090909091,0.4691094017094018,1.2723693325931456,1.349914469254894,0.0,-0.07754513666174834,9.999000099990002e-05,0.004227272727272711
1XV9,B,246,26,85,0.4499538461538461,0.47250470588235305,1.4062851142884252,1.388673032554223,2.8795058974897277e-05,0.017612081734202256,9.999000099990002e-05,0.0030307692307692292
1XVP,B,246,26,83,0.44943846153846156,0.4838650602409638,1.323660269904338,1.25391176140028,2.220557079880142e-16,0.06974850850405812,9.999000099990002e-05,0.0047769230769230675
1Y4H,A,173,21,58,0.4976714285714286,0.46783448275862066,1.5235279167014448,1.7043505102389935,0.0,-0.1808225935375487,9.999000099990002e-05,0.008285714285714289
2AST,B,325,26,115,0.509623076923077,0.44133304347826086,1.2318717704675324,1.6014788842820002,2.220557079880142e-16,-0.36960711381446787,9.999000099990002e-05,0.00625
2D7D,B,38,9,18,0.543088888888889,0.4609888888888889,1.0708043517032282,1.2402354200107013,2.220557079880142e-16,-0.16943106830747312,9.999000099990002e-05,0.02793333333333332
2H9A,A,383,38,131,0.41629999999999995,0.4460198473282443,1.4367894410242175,1.6051158364224245,0.017317798022604452,-0.16832639539820704,9.999000099990002e-05,0.00515526315789474
2NMV,B,38,10,18,0.50586,0.46438333333333337,0.9567228147114523,1.1998803946974983,2.220557079880142e-16,-0.24315757998604604,9.999000099990002e-05,0.028749999999999994
2OJE,D,214,15,91,0.42216,0.47993736263736264,1.103322204586503,1.287990075347089,0.0,-0.184667870760586,9.999000099990002e-05,0.0026066666666666643
2R9Q,B,342,23,119,0.4748478260869566,0.44946638655462184,1.3791514890017809,1.5764531678975917,2.220557079880142e-16,-0.19730167889581085,9.999000099990002e-05,0.0028999999999999963
2VJE,D,62,17,24,0.5577,0.47017083333333337,1.1213252364867943,1.51222265721023,2.220557079880142e-16,-0.3908974207234357,9.999000099990002e-05,0.07043529411764705
